span,depth,xSectMax,objectClass,shape,mass,diameter,xSectMin,width,mission,vimpelId,cosparId,predDecayDate,cataloguedFragments,satno,height,xSectAvg,firstEpoch,active,name,onOrbitCataloguedFragments,constellationDiscosID
,,,Rocket Fragmentation Debris,,,,,,,,1992-093HQ,2025-06-17,0,22554,,,1992-12-26,,Zenit-2 fragmentation debris,0,
1.6,1.1,3.0688969367652,Payload,Hex Poly + 2 Pan,796.83,,0.950331777710913,1.1,Civil Imaging,,1994-068A,2126-11-27,0,23323,1.5,1.87551349251172,1994-10-15,,IRS-P2,0,
1.0,,0.785398163397448,Rocket Mission Related Object,Cone,1.0,1.0,0.5,,,,1998-043K,2034-06-19,0,25403,1.0,0.635400461539407,1998-07-10,,Zenit-2 operational debris (Sep Motor Cover),0,
6.5,0.5,0.433012701892219,Payload,Box + 1 Arm,69.0,,0.25,0.5,Civil Imaging,,2001-056C,3403-01-19,0,27003,0.5,0.375,2001-12-10,,Badr B,0,
1.5,,1.30102339435841,Payload,Step Cyl,100.0,0.8,0.502654824574367,,Commercial Technology,,2002-058E,2071-04-04,0,27609,1.5,1.08357151956958,2002-12-20,,Trailblazer (Dummy),0,
,,,Rocket Fragmentation Debris,,,,,,,,1993-014V,2044-09-07,0,28292,,,2002-11-30,,Start debris,0,
1.0,0.5,0.433012701892219,Payload,Poly + 1 Arm,25.0,,0.196349540849362,0.5,Civil Science,,2006-008C,2028-08-24,0,28982,0.5,0.285674770424681,2006-03-22,,ST5-C (ST-5 AFT),0,
1.0,,0.881391102217446,Payload Mission Related Object,Cyl,5.0,1.0,0.4,,,,2006-050C,2036-06-03,0,29524,0.4,0.706858347057703,2006-11-04,,OLS Cover,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025HV,2059-10-05,0,29923,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025UP,2234-09-20,0,30182,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025BZV,2035-12-30,0,31615,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025CDV,2024-05-12,0,31722,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Debris,,,,,,,,1988-033K,2931-06-21,0,33395,,,1988-04-26,,NNS O-23 insulation,0,
,,,Payload Fragmentation Debris,,,,,,,,1993-036ABN,2043-09-04,0,34823,,,2009-02-10,,Cosmos-2251 fragmentation debris,0,
11.7,2.0,35.0142162816749,Payload,Box + Hex Box + 3 Pan,1858.0,,4.0,2.0,Civil Radar Imaging,,2012-017A,2027-06-29,1,38248,3.9,17.6245,2012-04-26,,RISAT-1,0,
,,,Payload Debris,,,,,,,,2008-061C,2045-02-24,0,38264,,,2008-12-01,,Yaogan Weixing 4 debris,0,
8.4,,29.0095151546161,Rocket Body,Cyl,3800.0,3.3,8.55298599939821,,,,2014-014B,2028-02-12,0,39625,8.4,26.0477300890764,2014-03-31,,L-55 (YF24) (Long March (CZ) 2C),0,
,,,Payload Fragmentation Debris,,,,,,,,1995-015M,2043-08-07,0,40400,,,2015-02-03,,DMSP F-13 debris,0,
,,,Payload Fragmentation Debris,,,,,,,,2000-055NM,2045-06-10,0,41537,,,2015-11-25,,NOAA 16 fragmentation debris,0,
0.1,0.1,0.0173205080756888,Payload,Box + 2 Pan,2.0,,0.01,0.1,Defense Communications,,2016-067H,2026-08-30,0,41855,0.1,0.015,2016-11-13,True,Prometheus 2.3,0,
,,,Payload Fragmentation Debris,,,,,,,,2000-055QW,2033-02-03,0,42354,,,2015-11-25,,NOAA 16 fragmentation debris,0,
9.4,1.5,21.3256,Payload,Trap Box + 2 Pan,860.0,,1.8988,1.5,Commercial Communications,,2017-083D,3946-04-16,0,43073,3.1,14.4232716911764,2017-12-23,True,Iridium Next SV130,0,6
0.1,0.1,0.0173205080756888,Payload,Box,1.0,,0.01,0.1,Amateur Technology,,2018-111E,2027-07-31,0,43880,0.1,0.015,2018-12-27,True,UWE-4,0,
1.0,0.5,0.75,Payload,Box,55.0,,0.25,0.5,Commercial Imaging,,2019-054E,2026-08-21,0,44499,1.0,0.625,2019-08-19,True,BlackSky Global 4,0,17
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-006BC,2057-06-12,0,45094,0.1,13.5615,2020-02-08,True,Starlink 1146,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-006BL,2024-02-15,0,45102,0.1,13.5615,2020-02-08,,Starlink 1195,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-006BM,2025-03-02,0,45103,0.1,13.5615,2020-02-08,True,Starlink 1196,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-012BB,2077-04-24,0,45227,0.1,13.5615,2020-02-24,True,Starlink 1221,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-038K,2032-07-30,0,45739,0.1,13.5615,2020-06-17,True,Starlink 1475,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-038AB,2066-10-30,0,45755,0.1,13.5615,2020-06-17,True,Starlink 1478,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-038AP,2026-05-19,0,45767,0.1,13.5615,2020-06-17,True,Starlink 1511,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-057AY,2049-07-07,0,46163,0.1,13.5615,2020-08-26,True,Starlink 1610,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-062K,2057-07-04,0,46334,0.1,13.5615,2020-09-09,True,Starlink 1725,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-073BJ,2056-09-20,0,46726,0.1,13.5615,2020-10-26,True,Starlink 1829,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-009N,2050-03-14,0,47560,0.1,13.5615,2021-02-11,True,Starlink 1959,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-009AR,2069-06-13,0,47587,0.1,13.5615,2021-02-11,True,Starlink 1991,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-017A,2051-08-18,0,47722,0.1,13.5615,2021-03-11,True,Starlink 2068,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-017AA,2059-04-02,0,47746,0.1,13.5615,2021-03-11,True,Starlink 2160,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-017AB,2056-09-12,0,47747,0.1,13.5615,2021-03-11,True,Starlink 2161,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-018D,2058-08-21,0,47790,0.1,13.5615,2021-03-17,True,Starlink 2319,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-018AN,2071-06-07,0,47823,0.1,13.5615,2021-03-17,True,Starlink 2408,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-018BE,2057-06-16,0,47839,0.1,13.5615,2021-03-17,True,Starlink 2431,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-024D,2058-08-16,0,47980,0.1,13.5615,2021-03-30,True,Starlink 2312,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-024N,2045-10-04,0,47989,0.1,13.5615,2021-03-30,True,Starlink 2305,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-024Z,2058-02-24,0,48000,0.1,13.5615,2021-03-30,True,Starlink 2270,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-038A,2058-01-30,0,48353,0.1,13.5615,2021-05-12,True,Starlink 2613,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-038K,2054-06-12,0,48362,0.1,13.5615,2021-05-12,True,Starlink 2578,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-104AA,2055-09-13,0,49432,0.1,13.5615,2021-11-17,True,Starlink 3158,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-104AD,2070-12-29,0,49435,0.1,13.5615,2021-11-17,True,Starlink 3117,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-104AE,2058-10-01,0,49436,0.1,13.5615,2021-11-17,True,Starlink 3049,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-104AS,2036-10-22,0,49448,0.1,13.5615,2021-11-17,True,Starlink 3097,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-125C,2077-02-09,0,50158,0.1,13.5615,2021-12-23,True,Starlink 3309,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-125E,2075-03-29,0,50160,0.1,13.5615,2021-12-23,True,Starlink 3288,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-125Q,2082-05-10,0,50170,0.1,13.5615,2021-12-23,True,Starlink 3245,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-125AQ,2064-10-28,0,50194,0.1,13.5615,2021-12-23,True,Starlink 3269,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-010F,2068-07-12,0,51461,0.1,13.5615,2022-02-08,True,Starlink 3181,0,254
0.9,0.1,0.0281,Payload,Box + 2 Ant,0.284,,0.0095,0.1,Commercial Communications,,2022-026E,2024-02-21,0,52012,0.025,0.0156,2022-03-16,,SpaceBEE-118,0,
1.0,0.5,0.75,Payload,Box,55.0,,0.25,0.5,Commercial Imaging,,2022-034C,2025-04-27,0,52197,1.0,0.625,2022-04-02,True,BlackSky Global 20,0,250
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-086A,2056-07-15,0,53242,0.1,13.5615,2022-07-28,True,Starlink 4056,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-086E,2080-08-26,0,53246,0.1,13.5615,2022-07-28,True,Starlink 4131,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-107AF,2066-05-13,0,53729,0.1,13.5615,2022-09-12,True,Starlink 4651,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-107AH,2069-06-10,0,53731,0.1,13.5615,2022-09-12,True,Starlink 4636,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-107AJ,2077-04-14,0,53732,0.1,13.5615,2022-09-12,True,Starlink 4661,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-111AA,2066-04-06,0,53797,0.1,13.5615,2022-09-19,True,Starlink 4723,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-125D,2077-09-02,0,53967,0.1,13.5615,2022-10-11,True,Starlink 4634,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-125F,2053-12-27,0,53969,0.1,13.5615,2022-10-11,True,Starlink 4468,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-125G,2046-03-18,0,53970,0.1,13.5615,2022-10-11,True,Starlink 4567,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-125R,2122-04-17,0,53979,0.1,13.5615,2022-10-11,True,Starlink 5123,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-125U,2081-07-09,0,53982,0.1,13.5615,2022-10-11,True,Starlink 5120,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-125AB,2057-04-02,0,53989,0.1,13.5615,2022-10-11,True,Starlink 5115,0,254
,,,Other Debris,,,,,,,,2022-151KD,2137-12-06,0,54525,,,2022-11-12,,CZ-6A debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,2022-151QF,2045-12-13,0,54894,,,2022-11-12,,CZ-6A debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,2022-151QG,2050-11-27,0,54895,,,2022-11-12,,CZ-6A debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,2022-151VL,2050-04-06,0,55195,,,2022-11-12,,CZ-6A debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,2022-151VW,2048-11-21,0,55205,,,2022-11-12,,CZ-6A debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,2022-151ZP,2046-06-13,0,55867,,,2022-11-12,,CZ-6A debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,2022-151AAH,2044-12-17,0,55885,,,2022-11-12,,CZ-6A debris,0,
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,300.0,,0.56,2.8,Commercial Communications,,2023-058AE,2076-09-21,0,56345,0.2,11.0874666666667,2023-05-03,True,Starlink 5979,0,253
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-061S,2109-10-18,0,56390,0.2,11.0874666666667,2023-05-11,True,Starlink 6300,0,255
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-061T,2100-02-08,0,56391,0.2,11.0874666666667,2023-05-11,True,Starlink 6298,0,255
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-078Q,2067-11-03,0,56781,0.2,11.0874666666667,2023-06-06,True,Starlink 5989,0,252
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-078AF,2058-02-13,0,56796,0.2,11.0874666666667,2023-06-06,True,Starlink 6049,0,252
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-083Z,2080-09-04,0,56899,0.2,11.0874666666667,2023-06-20,True,Starlink 6203,0,255
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-134D,2084-01-17,0,57774,0.3,33.8838666666667,2023-09-08,True,Starlink 30384,0,256
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-134F,2059-03-12,0,57776,0.3,33.8838666666667,2023-09-08,True,Starlink 30360,0,256
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-158N,2072-12-16,0,58063,0.3,33.8838666666667,2023-10-20,True,Starlink 30585,0,256
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-191H,2027-01-11,0,58515,0.3,33.8838666666667,2023-12-14,True,Starlink 31017,0,256
,,,Rocket Mission Related Object,,,,,,,,1963-053E,2025-11-05,0,724,,,1963-12-19,,Scout X-4 operational debris,0,
6.5,,15.1987479030569,Payload,Oct Cyl + 2 Pan,1769.0,2.2,3.42239682094289,,Civil Astronomy,,1966-031A,2315-04-02,0,2142,3.1,9.4797337612646,1966-04-08,,OAO 1,0,
,,,Rocket Fragmentation Debris,,,,,,,,1970-025MR,2044-01-27,0,6014,,,1970-10-17,,Agena D debris,0,
4.2,,11.048620352157,Rocket Body,Cyl,1434.0,2.4,4.5238934211693,,,,1975-045J,9999-12-31,0,7831,4.2,10.1787601976309,1975-05-28,,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),0,
,,,Rocket Fragmentation Debris,,,,,,,,1972-058CP,2104-04-22,0,7959,,,1975-05-22,,Delta 900 fragmentation debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1977-065F,2046-08-26,0,10177,,,1977-07-14,,Delta 2914 fragmentation debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1977-065DV,2195-02-12,0,10346,,,1977-07-14,,Delta 2914 fragmentation debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1976-067AA,4854-09-15,0,10449,,,1977-09-29,,Cosmos-839 fragmentation debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1978-026GW,2164-02-21,0,17764,,,1981-01-27,,Delta 2910 debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1977-121BQ,2158-03-05,0,18494,,,1977-12-21,,Cosmos-970 fragmentation debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1991-009BU,9999-12-31,0,21405,,,1991-03-05,,Cosmos-3M fragmentation debris,0,
13.14,,16.7504,Payload,Cyl + 1 Ant,1982.16,1.35,6.016,,Defense Sigint,,1992-080A,2038-07-15,0,22236,3.2,13.217,1992-11-24,,Cosmos-2221,0,
1.6,,1.37515885361215,Payload,Cyl,222.99,0.8,0.502654824574367,,Defense Communications,,1994-086C,9999-12-31,0,23443,1.6,1.25663706143592,1994-12-26,,Cosmos-2301,0,
,,,Rocket Fragmentation Debris,,,,,,,,1994-029AED,2129-09-10,0,25449,,,1996-06-03,,Pegasus fourth stage (HAPS) fragmentation debris,0,
12.0,12.0,9.366,Payload,Box + 2 Pan,715.0,,1.0532,0.6,Commercial Communications,,1999-058B,9999-12-31,0,25944,4.0,5.5868625,1999-10-18,,Globalstar M056,0,3
,,,Rocket Fragmentation Debris,,,,,,,,1991-068P,4849-09-30,0,26004,,,1999-10-09,,Tsyklon fragmentation debris,0,
8.0,,15.6105582893284,Payload,Oct Cyl + 1 Arm + 2 Pan,467.0,2.2,3.42239682094289,,Civil Imaging,,2000-075B,2059-10-03,0,26620,1.9,8.34416523837693,2000-11-21,,SAC-C,0,
,,,Rocket Debris,,,,,,,,2002-054D,2035-11-22,0,27768,,,2002-11-28,,Cosmos-3M debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025GK,2090-11-05,0,29889,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025XC,2068-06-17,0,30243,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025ABG,2036-06-20,0,30345,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025AJL,2025-08-08,0,30522,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025AMM,2036-05-20,0,30606,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025AWA,2036-05-06,0,30840,,,2007-01-11,,Fengyun 1C debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1993-036DC,2035-06-27,0,33899,,,2009-02-10,,Cosmos-2251 fragmentation debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1993-036GE,2041-06-08,0,33995,,,2009-02-10,,Cosmos-2251 fragmentation debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1993-036MX,2033-03-10,0,34301,,,2009-02-10,,Cosmos-2251 fragmentation debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1993-036NX,2110-01-06,0,34325,,,2009-02-10,,Cosmos-2251 fragmentation debris,0,
12.0,,32.6734,Payload,Trap Cyl + 2 Pan,715.0,2.0,9.3488,,Commercial Communications,,2011-080D,5172-10-01,0,38043,4.0,20.9307264705882,2011-12-28,True,Globalstar-2 M092,0,4
0.34,0.34,0.125201277948749,Payload,Box,5.2,,0.034,0.1,Commercial Imaging,,2013-066P,2033-09-11,0,39429,0.34,0.0918,2013-11-21,,Dove-3,0,
,,,Payload Debris,,,,,,,,2014-047F,7077-09-21,0,40114,,,2014-08-09,,Yaogan Weixing 20 debris,0,
13.0,13.0,3.1752,Payload,Box + 1 Pan + 1 Ant,172.0,,0.6728,0.5,Commercial Communications,,2015-081F,2066-09-17,0,41184,1.0,2.22200735294117,2015-12-22,True,Orbcomm FM112,0,258
1.0,0.5,0.633235078264092,Payload,Box + 2 Pan,500.0,,0.25,0.5,Defense Sigint,,2017-085B,2038-04-22,0,43082,0.5,0.446,2017-12-26,True,Yaogan Weixing 30-03-02,0,
,,,Payload Fragmentation Debris,,,,,,,,1998-046S,2056-07-31,0,44023,,,2018-12-22,,Orbcomm FM16 debris,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2019-074V,2067-08-30,0,44732,0.1,13.5615,2019-11-14,True,Starlink 1027,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2019-074BE,2067-05-27,0,44765,0.1,13.5615,2019-11-14,True,Starlink 1060,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2019-074BF,2056-08-26,0,44766,0.1,13.5615,2019-11-14,True,Starlink 1061,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-006AV,2052-01-16,0,45087,0.1,13.5615,2020-02-08,True,Starlink 1185,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-012N,2056-01-12,0,45190,0.1,13.5615,2020-02-24,True,Starlink 1234,0,251
,,,Rocket Fragmentation Debris,,,,,,,,1991-056BS,2803-03-19,0,45328,,,2020-02-12,,Tsyklon 3-3 debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,2011-037DJ,2081-04-22,0,45889,,,2020-05-08,,Fregat SBB debris,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-073B,2048-12-23,0,46671,0.1,13.5615,2020-10-26,True,Starlink 1715,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-009M,2049-12-02,0,47559,0.1,13.5615,2021-02-11,True,Starlink 1958,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-009Y,2024-04-24,0,47570,0.1,13.5615,2021-02-11,True,Starlink 1969,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-017N,2046-04-20,0,47734,0.1,13.5615,2021-03-11,True,Starlink 2144,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-017Z,2080-01-02,0,47745,0.1,13.5615,2021-03-11,True,Starlink 2159,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-017AQ,2055-12-30,0,47760,0.1,13.5615,2021-03-11,True,Starlink 2178,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-018W,2067-07-30,0,47807,0.1,13.5615,2021-03-17,True,Starlink 2388,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-018AB,2066-02-18,0,47812,0.1,13.5615,2021-03-17,True,Starlink 2393,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-021AH,2067-09-18,0,47891,0.1,13.5615,2021-03-22,True,Starlink 2351,0,251
0.7,0.2,0.174028262840431,Payload,Box + 2 Pan,15.0,,0.04,0.2,Commercial Communications,,2021-022Z,2025-01-10,0,47955,0.3,0.1094,2021-03-24,True,Kepler-6,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-024F,2059-01-04,0,47982,0.1,13.5615,2021-03-30,True,Starlink 2317,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-104A,2108-09-22,0,49408,0.1,13.5615,2021-11-17,True,Starlink 3151,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-104F,2089-05-05,0,49413,0.1,13.5615,2021-11-17,True,Starlink 3157,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-104H,2049-11-22,0,49415,0.1,13.5615,2021-11-17,True,Starlink 3159,0,254
